Timestamp,instructions,l2_rqsts_miss
     1.000166911,3551667615,58314631
     2.000586368,2124859849,30952775
     3.000761210,1214651818,9978905
     4.000947216,5027751867,23654528
     5.001313036,5220955783,15601839
     6.001737090,5200492585,14582528
     7.002132085,5274415042,21694704
     8.002497849,4155511480,38925225
     9.002906821,3099137287,56742338
    10.003321099,4408393379,56119332
    11.003675539,4900815672,47006214
    12.004021117,4817157745,47961328
    13.004403749,4854695048,48620206
    14.004767438,4876226108,46976431
    15.005111408,4867141974,48311183
    16.005493311,4810826932,47622990
    17.005871583,4762294930,49653796
    18.006251265,4782791669,48142654
    19.006867831,4803403005,47724367
    20.007246077,4894329374,48738085
    21.007621463,4791389929,48983396
    22.008339558,4850415448,48972847
    23.008664233,4837474303,48691502
    24.009025480,4861538312,48777544
    25.009840524,4801384199,48222820
    26.010223163,4841194568,50178197
    27.010723277,4682339588,48350750
    28.011120618,4530939918,45826878
    29.011504748,4792531471,48686259
    30.012323646,4815750801,47599951
    31.012723288,4750175559,47921575
    32.013101108,4770778192,48998831
    33.013468284,4886385255,47721136
    34.013877414,4901139906,48938920
    35.014575399,4884153630,47563979
    36.014956422,4828965799,48380730
    37.015360198,4850743534,47575197
    38.015751938,4871144879,49320807
    39.016338447,4842713504,48355778
    40.016907801,4802790204,49854458
    41.017302153,4877374893,49265593
    42.017680660,4898986398,48656231
    43.026244900,4310928330,45804048
    44.026598136,4635770325,46486769
    45.027216499,4803634795,47649179
    46.027596568,4867620319,47959779
    47.027984813,4882912661,49917144
    48.028375393,4750136775,45736423
    49.028773441,4756210016,47889169
    50.029336225,4768695075,51083105
    51.029658634,4804586660,48662363
    52.030000930,4821657837,48046686
    53.030344663,4888741139,47621349
    54.030721352,4778435918,48067731
    55.031298258,4861481411,47337102
    56.031678743,4859251318,48265720
    57.032355466,4841603026,48433437
    58.032718060,4836325275,48679058
    59.033104404,4866181558,48520291
    60.033777015,4877843733,48418187
    61.034179070,4857089057,49582979
    62.034550964,4814208185,50885641
    63.034931642,4924521821,49222325
    64.035322859,4888614896,49351170
    65.036063678,4839997440,48785249
    66.036410736,4763108754,48984199
    67.036804208,4772693004,47424006
    68.037177617,4815413348,46867871
    69.037527743,4812805397,47916612
    70.038156667,4845000566,46645227
    71.038547040,4808637894,47358349
    72.038877888,4821448579,48978353
    73.039243673,4754620680,50815910
    74.039626502,4864498226,49013510
    75.040338681,4919085026,48337908
    76.040723282,4850664525,49167997
    77.041101052,4896476101,48222832
    78.041479076,4831395333,48300648
    79.041912625,4844110446,47883149
    80.042489140,4797999701,47805271
    81.042866601,4829348008,48321485
    82.043231369,4854050449,48343911
    83.043594236,4821180610,48545570
    84.043981864,4830716943,48384215
    85.044640722,4694484715,46633747
    86.045017496,4751235873,46941412
    87.045387016,4801993188,47487727
    88.045771617,4799484082,48085262
    89.046140511,4448872987,45483017
    90.046694149,4782588984,47853124
    91.047073254,4183135015,57754663
    92.047280435,2693525247,51910873
    92.111659809,14670510,278140
