Timestamp,instructions,L1-dcache-load-misses
     0.010218993,12089466,139638
     0.020456315,9478182,138571
     0.031251935,9164507,157829
     0.041431316,11724710,127308
     0.052043737,10313112,146145
     0.063097080,10472252,164729
     0.073262423,9582837,148318
     0.083429804,9276852,141646
     0.093604705,9599561,147755
     0.103799761,9723096,147684
     0.113967238,2594036,46699
     0.124141490,11678735,164131
     0.134321476,8124840,136402
     0.144487735,10871243,185299
     0.154655542,10066491,167294
     0.164820584,11079001,155709
     0.174983175,9869449,143120
     0.185153648,9849842,178566
     0.195328845,9937416,181285
     0.205987089,10888671,201956
     0.216154107,10957509,274657
     0.226319141,13186944,247113
     0.236495253,11428287,317341
     0.246782908,11509442,163991
     0.256957975,11889528,152574
     0.267264927,14815848,142599
     0.281905339,18306149,181234
     0.292083290,7186817,194536
     0.302249786,5258976,272341
     0.312410307,6741024,208162
     0.326180871,22251402,561905
     0.338184236,19831917,477016
     0.354162914,22828345,590129
     0.365751163,16635660,483469
     0.376324595,31455345,712976
     0.389044252,36513451,852709
     0.402186627,34831019,857556
     0.414197010,29920453,825451
     0.424844371,19700758,521825
     0.440688233,29998615,771936
     0.450976438,17071727,460214
     0.461262498,27225255,661270
     0.471555739,21270345,529473
     0.483612186,24225889,560110
     0.494835969,24562566,574935
     0.505077470,19882819,465537
     0.518059196,26562048,725388
     0.528491731,24588885,535526
     0.541151046,25362383,595496
     0.551436381,22052287,515820
     0.564935976,28033810,586941
     0.578144883,18468733,417178
     0.588422606,20890879,552182
     0.602194693,34427434,777763
     0.614148170,25783738,566134
     0.634191688,40308948,862568
     0.644541905,25320392,457289
     0.654832717,32450560,563597
     0.665086707,26664852,623199
     0.675365970,29605546,657314
     0.685653219,24509657,542576
     0.696016335,22346444,535165
     0.714142329,44769650,1070390
     0.724426648,32875438,683011
     0.739636617,36089403,780534
     0.766187728,61392983,1375823
     0.782186522,37950888,899370
     0.794184113,29171674,612354
     0.810342667,31602820,818170
