Timestamp,instructions,LLC-load-misses
     0.100124236,149715158,68831
     0.200491269,174082348,244258
     0.301809671,360179017,946987
     0.402108525,400740658,918274
     0.503542673,392811139,1011652
     0.603924037,422333472,548021
     0.705442018,383223198,819806
     0.805799139,370093685,916182
     0.907811532,459786267,700794
     1.008111859,467420063,369892
     1.108422976,369049603,174256
     1.208780942,400618584,961875
     1.309080183,430590291,505021
     1.409452745,486629409,775405
     1.510993893,404204217,729897
     1.611179490,299895,3657
     1.711463837,513655,8259
     1.811731269,<not counted>,<not counted>
     1.911911233,17786931,31962
     2.012122951,18270460,39928
     2.112380791,24010270,63814
     2.212569606,214976,2663
     2.312878824,171365,3272
     2.413157996,7312540,27536
     2.513333815,13430269,34694
     2.613582939,17451438,41372
     2.713792674,35244443,41282
     2.813952654,274814165,45154
     2.914127371,248187347,214863
     3.014306367,489416765,224480
     3.114489305,441941702,363997
     3.214675571,517035809,376209
     3.314843808,526998041,366327
     3.415019842,541075571,457897
     3.516567567,515641776,509310
     3.616753652,522538260,490748
     3.718413668,523955642,459311
     3.819725099,525369471,340397
     3.920015991,498585984,519460
     4.021782728,526165213,532658
     4.122055678,538102689,624789
     4.223501748,542364298,464219
     4.323797749,505570563,414095
     4.424073040,507332541,466483
     4.525770148,448996171,618584
     4.626068827,423591094,411285
     4.726328216,437866380,402653
     4.827844474,432110824,463930
     4.928126642,416680432,382722
     5.029946575,459156028,416364
     5.131362591,442129245,429783
     5.233299890,424954006,522123
     5.334203483,449967478,497195
     5.436091010,486067217,444824
     5.537806705,515153405,495366
     5.638102028,487397909,519411
     5.738391573,542202063,564076
     5.838753710,533692318,704177
     5.939047541,525391547,715644
     6.056401650,606608974,879109
     6.156748480,497236835,1094636
     6.259189679,547106347,1018660
     6.360823230,552304829,971125
     6.462305238,548353447,1057171
     6.563233890,506226405,2769247
     6.663869391,448243777,1316867
     6.765374933,473339262,1364989
     6.865682654,487493486,1387434
     6.967104082,474037401,1207094
     7.069255945,456981615,2422234
     7.170521229,478021428,2189332
     7.270840509,412089214,1585298
     7.372600710,434059154,2089252
     7.474004409,441459016,1931041
     7.575247474,378424382,2536790
     7.676809798,394723484,2321495
     7.777789682,332132955,2944277
     7.879267218,364061425,2668716
     7.981011914,439653398,1822126
     8.082212436,410108687,3242707
     8.183157131,438418485,1970906
     8.283422128,416736960,2109972
     8.385053652,378719356,4611188
     8.486602229,387075273,2745580
     8.588054362,422896616,1357080
     8.689857461,471742330,2211887
     8.790157964,426981931,2071927
     8.891772415,424967699,2335116
     8.993808436,472962295,1313255
     9.095139960,430300785,1480112
     9.196312132,352949282,1816276
     9.296543498,420915121,1883369
     9.397994305,377354651,2014795
     9.504552272,396458646,2212909
     9.604947328,300260597,2458911
     9.705263356,379207818,2686362
     9.806861055,474361019,1409288
     9.908511418,386961671,2571681
    10.008813216,395328266,2191632
    10.110348611,450060115,1824621
    10.210754981,287552873,2264772
    10.311117833,466418380,755593
    10.411965785,521544428,376002
    10.513502375,445990559,1090728
    10.613806040,490041072,398590
    10.714101860,498076931,290972
    10.814930156,489236413,383019
    10.915238731,509579453,397674
    11.016832027,498293027,377081
    11.118958822,477089033,334297
    11.220650096,515966807,506458
    11.320956641,515510625,337402
    11.421265426,457125027,344909
    11.522521975,519848762,464313
    11.622825613,507305688,407934
    11.723111438,451435767,297875
    11.824793338,505056126,541776
    11.925922625,501904360,401717
    12.026234394,458426508,317860
    12.127765984,487477710,485633
    12.228152037,517601816,432554
    12.331087173,485882675,319655
    12.432026443,482247977,476660
    12.533341986,526126503,427833
    12.633648513,480756744,341146
    12.733950186,480780407,418429
    12.834933150,523378326,436621
    12.936141539,497727840,321564
    13.038250667,474992393,452131
    13.139573136,502334390,503365
    13.239878620,502323174,429607
    13.340164874,476404118,397153
    13.440487649,492379532,485604
    13.540663927,518397668,383345
    13.640869327,466048788,404621
    13.741171841,469166687,491631
    13.842282202,524810663,506248
    13.943681108,492978273,395354
    14.045780236,439684993,461321
    14.145978756,484623057,443272
    14.248394304,503283366,437500
    14.348715502,464052369,399439
    14.450161541,500813828,468643
    14.551682070,509423546,472873
    14.652001504,478939729,398848
    14.753478979,513101089,402840
    14.853842737,510272378,426944
    14.954140544,465903966,401161
    15.055162979,490133797,492166
    15.156490487,494348634,471003
    15.256802033,495641326,401460
    15.357105477,489350717,418895
    15.458811279,508475200,425913
    15.559814858,502617887,388801
    15.661350075,431648707,478315
    15.761651487,482703549,466564
    15.861954376,502517168,427373
    15.962768610,478928770,435413
    16.063072497,495594515,440560
    16.163356236,484153105,459335
    16.263798790,488656309,448240
    16.364093919,479358613,464995
    16.465346422,499886141,436527
    16.565654535,497115902,466174
    16.665947499,475511752,431772
    16.766875158,495632172,399165
    16.868541732,498732143,492468
    16.969976381,457688610,445789
    17.070300490,480507236,499261
    17.171866835,409806031,440471
