Timestamp,instructions,L1-dcache-load-misses
     1.000156333,1319352604,18239066
     2.000516626,5488374,96712
     3.000718462,22678182,264960
     4.000889375,1384079993,9366580
     5.001062803,2515232358,16526168
     6.001260986,2298411171,16744414
     7.001549036,1030958559,22308101
     8.001698380,2202840415,19308632
     9.001877300,2195483262,19241675
    10.002058478,2154773156,19140840
    11.002238667,2191770180,19645025
    12.002422941,2268610166,19699259
    13.002601999,2281939576,19274500
    14.002776233,2251688191,19231395
    15.002947754,2285221300,19409705
    16.003135503,2277648379,19316238
    17.003306529,2309527482,19538827
    18.003457878,2310959038,20227713
    19.003641279,2355089018,19891091
    20.003798173,2328609800,19687374
    21.003960420,2297133100,19583052
    22.004128062,2327179519,19467889
    23.004293954,2348858050,19482898
    24.004443175,2339979822,19557512
    25.004615097,2278178861,19185730
    26.004781671,2290188548,19302635
    27.004935393,2274204765,19309182
    28.005093699,2270831660,19271897
    29.005281448,2224014122,20434054
    30.005451031,2293834611,19947362
    31.005623966,2319270592,19719609
    32.005800552,2315237745,19659056
    33.005992785,2301771047,19484539
    34.006139366,2320210976,19449091
    35.006316899,2297292359,19405149
    36.006495989,2299328194,19371460
    37.006668510,2287688748,19274196
    38.006840458,2297836090,19576028
    39.007014025,2322354091,19329060
    40.007182538,2343384563,19368519
    41.007337466,2265857708,19967432
    42.007506754,2338927100,19754265
    43.007660324,2288649472,19587442
    44.008024992,2313672284,19655871
    45.008176093,2237737606,19243676
    46.008330430,2290156144,19503135
    47.008496529,2278070449,19402066
    48.008666655,2323721195,19418860
    49.008835035,2289531782,19505921
    50.008985862,2290345269,19597113
    51.009169242,2342996055,19462554
    52.009350397,2281105076,20051409
    53.009537359,2294284297,19506855
    54.009722912,2299047991,19734050
    55.009898073,2321450862,19865229
    56.010077658,2337940926,19827526
    57.010258924,2335379614,19654971
    58.010440192,2332874372,19373867
    59.010631871,2315149370,19384919
    60.010808736,2274300332,19127876
    61.010986226,2319865998,19525203
    62.011169062,2329186779,19690434
    63.011352544,2345990779,19665054
    64.011558900,2246343441,19751198
    65.011928750,2320341040,19795093
    66.012090115,2295847104,19502378
    67.012247914,2295154337,19553253
