Timestamp,instructions,LLC-load-misses
     0.010111299,10013180,13006
     0.020735007,10182020,30038
     0.030904007,14427624,26459
     0.041075236,9718874,25726
     0.051235193,10013154,21595
     0.061400487,14882932,24890
     0.071555631,16475688,12685
     0.081695112,16148892,20071
     0.091840526,16341892,13903
     0.102005583,14473609,32677
     0.112169914,12707719,23309
     0.122324032,13931811,16225
     0.132507729,13364321,20548
     0.142667002,15510219,22892
     0.152847906,15344589,26034
     0.162994128,18526194,18677
     0.173150614,17146887,25948
     0.183292967,12405505,60255
     0.193463168,14955945,23289
     0.203612319,19285904,15035
     0.213798563,17969787,25899
     0.223945980,13964050,2741
     0.234107494,17933731,5612
     0.244266382,11950617,13827
     0.254443485,14754632,24461
     0.264614976,15185960,22167
     0.274760471,15763791,40923
     0.284940846,14487012,34483
     0.295108980,11822842,57392
     0.305263350,14704678,9407
     0.315410904,10013402,21006
     0.325561205,18572018,11317
     0.335730796,17938161,14550
     0.345896886,12598386,35177
     0.356090641,14865612,21874
     0.366257214,15710331,23041
     0.376413030,14904661,22348
     0.386585007,17389729,34811
     0.396756178,17857769,10762
     0.406915407,16035519,16843
     0.417082880,16854190,16956
     0.427306245,17313648,11783
     0.437477946,24608992,14599
     0.447647877,18008114,22443
     0.457824823,19689603,9078
     0.467997516,19761771,23398
     0.478170705,18922338,14684
     0.488335833,28942215,2631
     0.498497872,20493886,13180
     0.508659710,16208559,8249
     0.518841738,11180478,5194
     0.529055244,15956488,7142
     0.539220256,10872148,8448
     0.549399410,16975483,7120
     0.559562884,17704665,4272
     0.569717195,19926249,3402
     0.579868225,14263944,3153
     0.590023408,16443295,20785
     0.600193832,16322883,34037
     0.610366897,16372575,22546
     0.620527331,11253140,27068
     0.630698435,18000391,14608
     0.640875968,14660803,48250
     0.651067397,19222769,13336
     0.661220257,18769410,21148
     0.671377187,25514656,563
     0.681542363,21570479,15675
     0.691727932,20137741,16390
     0.701904698,19345862,24636
     0.712065752,18925629,11087
     0.722243940,13686009,35996
     0.732396602,19407983,7097
     0.742562055,16830311,33555
     0.752750200,23431009,10282
     0.762917726,22354265,6795
     0.773087912,16822333,30730
     0.783261427,22400622,16043
     0.793431182,19840514,7381
     0.803593369,18727944,14739
     0.813746018,13429631,26896
     0.823912983,14119404,34179
     0.834162500,10100559,56902
     0.844309570,18521597,12390
     0.854490341,13149615,38078
     0.864706650,12463439,59903
     0.874901895,6945348,196847
     0.885073208,5475393,184308
     0.895974872,6575611,194017
     0.906217048,4692932,140403
     0.916385850,9662984,156847
     0.926559314,9860766,154908
     0.936787826,5277541,175750
     0.947024224,5378225,111961
     0.954146416,7924630,44715
